Disease,Symptoms,Remedies
Eczema,"Dry skin, Itching, Red patches","Moisturizers, Hydrocortisone creams"
Melanoma,"Moles that change in size, shape, or color","Surgical removal, Radiation"
Atopic Dermatitis,"Itchy, red, swollen skin","Antihistamines, Topical corticosteroids"
Basal Cell Carcinoma,"Pearly or waxy bump, Flat flesh-colored lesion","Surgical excision, Radiation"
Melanocytic Nevi,"Small, dark skin lesions","Observation, Surgical removal if needed"
Benign Keratosis-like Lesions,Warty or scaly growths,"Cryotherapy, Laser therapy"
Psoriasis,"Red patches, Scaling skin, Itching","Topical treatments, UV light therapy"
Lichen Planus,"Purple, flat-topped bumps, Itching","Steroids, Antihistamines"
Seborrheic Keratoses,"Brown, black, or light-colored growths","Cryosurgery, Laser therapy"
Tinea Ringworm,"Ring-shaped rash, Itching","Antifungal creams, Oral medications"
Candidiasis,"Red, itchy patches, White coating on tongue","Antifungal creams, Oral antifungals"
Warts,"Small, fleshy bumps","Salicylic acid, Cryotherapy"
Molluscum,"Small, pearly, dimpled bumps","Cryotherapy, Curettage"
Eczema,"Dry skin, Itching, Red patches","Moisturizers, Hydrocortisone creams"
Melanoma,"Moles that change in size, shape, or color","Surgical removal, Radiation"
Atopic Dermatitis,"Itchy, red, swollen skin","Antihistamines, Topical corticosteroids"
Basal Cell Carcinoma,"Pearly or waxy bump, Flat flesh-colored lesion","Surgical excision, Radiation"
Melanocytic Nevi,"Small, dark skin lesions","Observation, Surgical removal if needed"
Benign Keratosis-like Lesions,Warty or scaly growths,"Cryotherapy, Laser therapy"
Psoriasis,"Red patches, Scaling skin, Itching","Topical treatments, UV light therapy"
Lichen Planus,"Purple, flat-topped bumps, Itching","Steroids, Antihistamines"
Seborrheic Keratoses,"Brown, black, or light-colored growths","Cryosurgery, Laser therapy"
Tinea Ringworm,"Ring-shaped rash, Itching","Antifungal creams, Oral medications"
Candidiasis,"Red, itchy patches, White coating on tongue","Antifungal creams, Oral antifungals"
Warts,"Small, fleshy bumps","Salicylic acid, Cryotherapy"
Molluscum,"Small, pearly, dimpled bumps","Cryotherapy, Curettage"
Eczema,"Dry skin, Itching, Red patches","Moisturizers, Hydrocortisone creams"
Melanoma,"Moles that change in size, shape, or color","Surgical removal, Radiation"
Atopic Dermatitis,"Itchy, red, swollen skin","Antihistamines, Topical corticosteroids"
Basal Cell Carcinoma,"Pearly or waxy bump, Flat flesh-colored lesion","Surgical excision, Radiation"
Melanocytic Nevi,"Small, dark skin lesions","Observation, Surgical removal if needed"
Benign Keratosis-like Lesions,Warty or scaly growths,"Cryotherapy, Laser therapy"
Psoriasis,"Red patches, Scaling skin, Itching","Topical treatments, UV light therapy"
Lichen Planus,"Purple, flat-topped bumps, Itching","Steroids, Antihistamines"
Seborrheic Keratoses,"Brown, black, or light-colored growths","Cryosurgery, Laser therapy"
Tinea Ringworm,"Ring-shaped rash, Itching","Antifungal creams, Oral medications"
Candidiasis,"Red, itchy patches, White coating on tongue","Antifungal creams, Oral antifungals"
Warts,"Small, fleshy bumps","Salicylic acid, Cryotherapy"
Molluscum,"Small, pearly, dimpled bumps","Cryotherapy, Curettage"
Eczema,"Dry skin, Itching, Red patches","Moisturizers, Hydrocortisone creams"
Melanoma,"Moles that change in size, shape, or color","Surgical removal, Radiation"
Atopic Dermatitis,"Itchy, red, swollen skin","Antihistamines, Topical corticosteroids"
Basal Cell Carcinoma,"Pearly or waxy bump, Flat flesh-colored lesion","Surgical excision, Radiation"
Melanocytic Nevi,"Small, dark skin lesions","Observation, Surgical removal if needed"
Benign Keratosis-like Lesions,Warty or scaly growths,"Cryotherapy, Laser therapy"
Psoriasis,"Red patches, Scaling skin, Itching","Topical treatments, UV light therapy"
Lichen Planus,"Purple, flat-topped bumps, Itching","Steroids, Antihistamines"
Seborrheic Keratoses,"Brown, black, or light-colored growths","Cryosurgery, Laser therapy"
Tinea Ringworm,"Ring-shaped rash, Itching","Antifungal creams, Oral medications"
Candidiasis,"Red, itchy patches, White coating on tongue","Antifungal creams, Oral antifungals"
Warts,"Small, fleshy bumps","Salicylic acid, Cryotherapy"
Molluscum,"Small, pearly, dimpled bumps","Cryotherapy, Curettage"
Eczema,"Dry skin, Itching, Red patches","Moisturizers, Hydrocortisone creams"
Melanoma,"Moles that change in size, shape, or color","Surgical removal, Radiation"
Atopic Dermatitis,"Itchy, red, swollen skin","Antihistamines, Topical corticosteroids"
Basal Cell Carcinoma,"Pearly or waxy bump, Flat flesh-colored lesion","Surgical excision, Radiation"
Melanocytic Nevi,"Small, dark skin lesions","Observation, Surgical removal if needed"
Benign Keratosis-like Lesions,Warty or scaly growths,"Cryotherapy, Laser therapy"
Psoriasis,"Red patches, Scaling skin, Itching","Topical treatments, UV light therapy"
Lichen Planus,"Purple, flat-topped bumps, Itching","Steroids, Antihistamines"
Seborrheic Keratoses,"Brown, black, or light-colored growths","Cryosurgery, Laser therapy"
Tinea Ringworm,"Ring-shaped rash, Itching","Antifungal creams, Oral medications"
Candidiasis,"Red, itchy patches, White coating on tongue","Antifungal creams, Oral antifungals"
Warts,"Small, fleshy bumps","Salicylic acid, Cryotherapy"
Molluscum,"Small, pearly, dimpled bumps","Cryotherapy, Curettage"
Eczema,"Dry skin, Itching, Red patches","Moisturizers, Hydrocortisone creams"
Melanoma,"Moles that change in size, shape, or color","Surgical removal, Radiation"
Atopic Dermatitis,"Itchy, red, swollen skin","Antihistamines, Topical corticosteroids"
Basal Cell Carcinoma,"Pearly or waxy bump, Flat flesh-colored lesion","Surgical excision, Radiation"
Melanocytic Nevi,"Small, dark skin lesions","Observation, Surgical removal if needed"
Benign Keratosis-like Lesions,Warty or scaly growths,"Cryotherapy, Laser therapy"
Psoriasis,"Red patches, Scaling skin, Itching","Topical treatments, UV light therapy"
Lichen Planus,"Purple, flat-topped bumps, Itching","Steroids, Antihistamines"
Seborrheic Keratoses,"Brown, black, or light-colored growths","Cryosurgery, Laser therapy"
Tinea Ringworm,"Ring-shaped rash, Itching","Antifungal creams, Oral medications"
Candidiasis,"Red, itchy patches, White coating on tongue","Antifungal creams, Oral antifungals"
Warts,"Small, fleshy bumps","Salicylic acid, Cryotherapy"
Molluscum,"Small, pearly, dimpled bumps","Cryotherapy, Curettage"
Eczema,"Dry skin, Itching, Red patches","Moisturizers, Hydrocortisone creams"
Melanoma,"Moles that change in size, shape, or color","Surgical removal, Radiation"
Atopic Dermatitis,"Itchy, red, swollen skin","Antihistamines, Topical corticosteroids"
Basal Cell Carcinoma,"Pearly or waxy bump, Flat flesh-colored lesion","Surgical excision, Radiation"
Melanocytic Nevi,"Small, dark skin lesions","Observation, Surgical removal if needed"
Benign Keratosis-like Lesions,Warty or scaly growths,"Cryotherapy, Laser therapy"
Psoriasis,"Red patches, Scaling skin, Itching","Topical treatments, UV light therapy"
Lichen Planus,"Purple, flat-topped bumps, Itching","Steroids, Antihistamines"
Seborrheic Keratoses,"Brown, black, or light-colored growths","Cryosurgery, Laser therapy"
Tinea Ringworm,"Ring-shaped rash, Itching","Antifungal creams, Oral medications"
Candidiasis,"Red, itchy patches, White coating on tongue","Antifungal creams, Oral antifungals"
Warts,"Small, fleshy bumps","Salicylic acid, Cryotherapy"
Molluscum,"Small, pearly, dimpled bumps","Cryotherapy, Curettage"
Eczema,"Dry skin, Itching, Red patches","Moisturizers, Hydrocortisone creams"
Melanoma,"Moles that change in size, shape, or color","Surgical removal, Radiation"
Atopic Dermatitis,"Itchy, red, swollen skin","Antihistamines, Topical corticosteroids"
Basal Cell Carcinoma,"Pearly or waxy bump, Flat flesh-colored lesion","Surgical excision, Radiation"
Melanocytic Nevi,"Small, dark skin lesions","Observation, Surgical removal if needed"
Benign Keratosis-like Lesions,Warty or scaly growths,"Cryotherapy, Laser therapy"
Psoriasis,"Red patches, Scaling skin, Itching","Topical treatments, UV light therapy"
Lichen Planus,"Purple, flat-topped bumps, Itching","Steroids, Antihistamines"
Seborrheic Keratoses,"Brown, black, or light-colored growths","Cryosurgery, Laser therapy"
Tinea Ringworm,"Ring-shaped rash, Itching","Antifungal creams, Oral medications"
Candidiasis,"Red, itchy patches, White coating on tongue","Antifungal creams, Oral antifungals"
Warts,"Small, fleshy bumps","Salicylic acid, Cryotherapy"
Molluscum,"Small, pearly, dimpled bumps","Cryotherapy, Curettage"
